edge_id,length
:-10476_0,5.09
:-10476_1,15.85
:-10476_3,8.09
:-10476_6,5.35
:-1048_0,9.39
:-1048_1,5.14
:-1048_6,5.14
:-1048_2,4.99
:-1048_3,10.26
:-1048_4,5.00
:-1048_5,9.46
:-10484_0,9.50
:-10484_1,5.23
:-10484_6,5.10
:-10484_2,5.09
:-10484_3,10.43
:-10484_4,5.03
:-10484_5,9.50
:-10498_0,9.94
:-10498_3,8.81
:-10498_4,21.96
:-10498_5,8.81
:-10498_7,21.96
:-10516_0,5.18
:-10516_1,9.19
:-10516_2,7.85
:-10516_3,4.26
:-10516_6,5.29
:-10516_4,6.17
:-10516_5,11.07
:-10518_0,17.59
:-10518_3,8.44
:-10518_11,17.95
:-10518_4,5.96
:-10518_5,21.70
:-10518_7,12.66
:-10518_8,18.34
:-10520_0,9.48
:-10520_1,5.06
:-10520_6,5.26
:-10520_2,5.21
:-10520_3,10.56
:-10520_4,5.06
:-10520_5,9.50
:-10564_0,5.20
:-10564_1,8.68
:-10564_2,6.62
:-10564_3,4.60
:-10564_6,4.99
:-10564_4,4.83
:-10564_5,8.85
:-10576_0,9.47
:-10576_1,4.96
:-10576_6,5.38
:-10576_2,5.47
:-10576_3,10.87
:-10576_4,5.13
:-10576_5,9.52
:-10584_0,5.67
:-10584_1,10.90
:-10584_2,7.52
:-10584_3,10.15
:-10584_4,9.85
:-10584_5,5.57
:-10584_6,7.45
:-10588_0,8.52
:-10588_1,12.16
:-10588_2,12.95
:-10588_3,5.71
:-10588_4,11.40
:-10588_5,6.66
:-10588_16,5.23
:-10588_6,6.44
:-10588_7,10.64
:-10588_8,5.15
:-10588_17,5.30
:-10588_9,5.10
:-10588_10,11.24
:-10588_11,5.25
:-10588_18,6.89
:-10588_12,7.15
:-10588_13,11.95
:-10588_14,6.79
:-10588_15,6.52
:-10588_19,6.62
:-10588_20,4.73
:-10632_0,11.53
:-10632_1,5.88
:-10632_6,5.62
:-10632_2,5.28
:-10632_3,11.42
:-10632_4,5.34
:-10632_5,10.21
:-10666_0,5.01
:-10666_1,9.45
:-10666_3,9.34
:-10666_5,4.36
:-10666_8,8.65
:-10666_6,5.06
:-10666_7,13.15
:-10670_0,5.04
:-10670_1,10.39
:-10670_2,5.10
:-10670_3,9.54
:-10670_4,9.63
:-10670_5,5.39
:-10670_6,5.10
:-10676_0,5.32
:-10676_1,16.63
:-10676_2,14.20
:-10676_3,7.56
:-10676_4,11.30
:-10676_6,4.57
:-10676_14,8.60
:-10676_7,5.07
:-10676_8,17.50
:-10676_9,14.42
:-10676_10,6.31
:-10676_11,11.12
:-10676_13,5.06
:-10676_15,9.80
:-10678_0,3.06
:-10678_1,1.70
:-10708_0,9.74
:-10708_2,3.93
:-10708_7,9.11
:-10708_3,5.89
:-10708_4,14.51
:-10708_5,5.25
:-10708_6,9.68
:-10722_0,9.64
:-10750_0,9.80
:-10750_1,5.52
:-10750_6,5.13
:-10750_2,5.08
:-10750_3,10.49
:-10750_4,5.17
:-10750_5,9.60
:-1076_0,5.08
:-1076_1,14.46
:-1076_2,5.08
:-1076_3,14.46
:-1076_7,5.17
:-1076_5,8.66
:-10780_0,15.22
:-10780_2,4.11
:-10780_8,12.41
:-10780_3,10.59
:-10780_4,21.02
:-10780_5,6.55
:-10780_6,13.08
:-1080_0,4.70
:-1080_1,3.60
:-1080_6,4.80
:-1080_2,4.54
:-1080_3,7.97
:-1080_4,4.70
:-1080_5,7.97
:-10808_0,50.89
:-10808_1,51.45
:-10810_0,5.18
:-10810_1,6.26
:-10810_2,6.34
:-10810_3,2.77
:-10810_4,5.14
:-10812_0,9.50
:-10812_1,5.23
:-10812_6,5.23
